,What's Going On This Month?,Workstream,MI2_Tracker_ID,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes,Source,unique_id,xbva,Action Plan,Product #,LAC Lead,Output #,Work Plan,Meeting Notes,Catalogue of Mission Products,Mission Lead,Notes/Comments/Changes Needed,COVID-19 Updates,Task,"COR Approval 
Y/N",complete,ERP,MI2-Wide Tracker,MI2 BVA,Funding Source,MI2-Wide Tracker_x,Focal Area
71,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,"Facilitate and support CWT learning event in Bangkok, Thailand from November 21-22 in coordination with TRG",Process,Scoping Sheet,Caroline,No,Caroline,Megan,Google Folder,Completed,4.0,100%,Dec,,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.1.D,,,,,,,,,,,100.0,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
72,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,MI2 support to compilation of findings from desk review (led by GLAM),Removed,,,,Nathan,Megan,Google Folder,,5.0,,,Agreed with MH on 2/26 call to drop,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.A,,,,,,,,,,,,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
73,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,MI2 support to compilation of findings from desk review (led by GLAM),Removed,,,,Nathan,Megan,Google Folder,,5.0,,,Agreed with MH on 2/26 call to drop,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.A,,,,,,,,,,,,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
74,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,Summary and synthesis of current AM practice in USAID CWT projects and portfolios,Product,Scoping + Transmission + Dissemination Plans,Shelly,Yes,Tess,Megan,Google Folder,Production,9.0,25-34%,Jul,2/26 call with MH: will rescope this to be combined with product 2.2.2B.,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.B,,,,,,,,,,,29.5,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
75,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,Summary and synthesis of current AM practice in USAID CWT projects and portfolios,Product,Scoping + Transmission + Dissemination Plans,Shelly,Yes,Tess,Megan,Google Folder,Production,9.0,25-34%,Jul,2/26 call with MH: will rescope this to be combined with product 2.2.2B.,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.B,,,,,,,,,,,29.5,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
76,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,MI2 support to case studies (~5-6) and a synthesis of lessons learned on effective AM of USAID CWT projects and portfolios (led by GLAM),Removed,,,,Tess,Megan,Google Folder,Scoping,6.0,,,This workstream was to be led by the GLAM team with MI2 supporting. Discussed with MH possible next steps on 2/26 call - unlikely to have LOE to cover without GLAM input.,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.C,,,,,,,,,,,,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
77,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,MI2 support to case studies (~5-6) and a synthesis of lessons learned on effective AM of USAID CWT projects and portfolios (led by GLAM),Removed,,,,Tess,Megan,Google Folder,Scoping,6.0,,,This workstream was to be led by the GLAM team with MI2 supporting. Discussed with MH possible next steps on 2/26 call - unlikely to have LOE to cover without GLAM input.,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.C,,,,,,,,,,,,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
78,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,"Final project findings, recommendations, and guidance",Combined w/ other products,,,,Tess,Megan,,Scoping,6.0,,,Agreed with MH on 2/26 call to combine with product 2.2.2.B,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.D,,,,,,,,,,,,CWT Learning Activities,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
79,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,,"Final project findings, recommendations, and guidance",Combined w/ other products,,,,Tess,Megan,,Scoping,6.0,,,Agreed with MH on 2/26 call to combine with product 2.2.2.B,cross_mission_products,Product #,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,FY20 Cross-Mission Learning Tracking Table,2.2.2.D,,,,,,,,,,,,,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT GLAM Deliverables,FAB,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
80,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,,Finalized Scoping Sheet: Update and finalize the draft August 2019 document that defines the learning group activities and products for the Learning Community on Marine Conservation and Sustainable Fisheries. Illustrative outputs will be updated and shared with FAB once the scoping sheet is finalized and based on the available budget.,Product,Scoping Sheet,Caroline,No,Caroline/Lexine,Heidi,Scoping Sheet,Review,6.0,90-95%,May,,cross_mission_products,Product #,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.3.1.A,,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
81,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,,"Draft Learning Agenda: A living document that identifies learning questions/ topics, prioritized according to criteria, with a plan to investigate or answer them. To be drafted in FY20 and then kept as a living document until finalizing in FY21 or FY22.",Product,Scoping + Transmission + Dissemination Plans,Kathleen,No,Caroline/Lexine,Heidi,Learning Agenda Email,Completed,2.0,100%,Mar,"Learning agenda is the email to Missions kicking-off the learning group and asking them to engage with Teal on the KIIs. Links to a summary follow-up from the EO breakfast, which contains links to all the useful information about what we want to do and why.",cross_mission_products,Product #,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.3.1.B,,,,,,,,,,,100.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
82,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,,"Develop new Marine Conservation and Sustainable Fisheries Management learning group website on the Biodiversity Conservation Gateway, including periodic content updates",Process,,Caroline,No,Teal,Heidi,Folder or website,,4.0,35-79%,,SEEK will be covering this. TG will coordinate with SEEK on the layout we want.,cross_mission_products,Product #,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.3.1.C,,,,,,,,,,,57.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
83,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,,Prepare up to three marine newsletters for distribution by USAID,Product,,Caroline,No,Teal,Heidi,,Scoping,7.0,25-34%,,SEEK to lead design and delivery; MI2 to provide technical content,cross_mission_products,Product #,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.3.1.D,,,,,,,,,,,29.5,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
84,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,,Plan and host up to three webinars on topics relevant to the Marine Conservation and Sustainable Fisheries Management Learning Agenda,Product,,Caroline,No,Teal,Heidi,Webinar Development ,,,0-24%,,Likely not a output of this year.,cross_mission_products,Product #,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.3.1.E,,,,,,,,,,,12.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
85,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,,"Evidence brief: Research, write, and disseminate a two-page evidence brief that communicates the findings of an assessment initiated in FY19. The brief will initiate work toward a toolkit by identifying common threats, approaches, results, indicators, and learning questions that might be most relevant to members.",Product,Scoping + Transmission + Dissemination Plans,Natalie,No,Teal,Heidi,Marine Programming Inventory,,,,,To be completed in FY21.,cross_mission_products,Product #,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.3.1.F,,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
86,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,,In-person half-day learning event at a relevant regional meeting,Process,Scoping Sheet,Caroline,No,"Teal, Caroline/Lexine",Heidi,,,,,,Not an output of this year.,cross_mission_products,Product #,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,FY20 Cross-Mission Learning Tracking Table,2.3.1.G,,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
87,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Create framework and develop results chain to understand enabling conditions for partnerships,Process,,Caroline,No,Teal,,PSE for better conservation actions- Generic Results Chain,Production,6.0,90-95%,May,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.A,Share with CP/LC for feedback/input; and share with steering group for feedback/input,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
88,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,"Review PSE studies (e.g., Private Sector Perspective; Partnership Health; Failure Analysis); identify gaps and opportunities for LAC Learning Agenda and inform framework",Process,,,No,Teal,,PSE Studies,Production,9.0,35-79%,Jun,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.B,,,,,,,,,,,57.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
89,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Coordinate with LAC on Bureau and Mission PSE Engagement Strategies to identify areas for support and collaboration,Process,,,No,Geeta,,,Scoping,3.0,25-34%,,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.C,,,,,,,,,,,29.5,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
90,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Disseminate/share with missions and get their input; incorporate feedback into framework,Process,,,No,Teal,,,Production,4.0,96-99%,Jun,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.D,,,,,,,,,,,97.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
91,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Coordinate with PSE indicators working group; Share TOC and indicator development process,Process,,,No,Geeta,,MI2 Collaboration with Indicator Working Group FY20 Q2-3,Scoping,6.0,25-34%,,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.E,Keep CP/LC in loop on progress,,,,,,,,,,29.5,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
92,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Review Enduring Results study & PSE Evidence Gap Map; identify gaps and opportunities for LAC Learning Agenda and inform framework,Process,,,No,Geeta,,USAID PSE Evidence Gap Map,Production,6.0,80-89%,,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.F,Share high level findings with CP/LC,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
93,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Disseminate/share with missions and get their input; incorporate feedback into framework,Process,,,No,Geeta,,,Production,3.0,80-89%,,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.G,TBD- depends on PSE hub work,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
94,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Compile and share resources for the LAC PSE Learning Group based on crosswalk of existing and planned PSE resources and missions' needs (in coordination with PSE KM specialist),Process,,,No,Sara,,PSE Resource Crosswalk,Production,3.0,90-95%,Sept,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.H,Share with CP/LC for feedback/input- ways to involve LAC communication strategy,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
95,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Review USAID Comparative Analysis and PSE case studies; identify gaps and opportunities for LAC Learning Agenda and opportunities to highlight LAC Environment case studies,Process,,,No,Sara,,,Scoping,1.0,0-24%,Sept,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.I,,,,,,,,,,,12.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
96,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Update MI2 inventory of all LAC PSE biodiversity activities; Disseminate/share with missions,Process,,Caroline,No,Sara,,PSE Inventory,Production,3.0,90-95%,Mar,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.J,Inform CP/LC of information gaps,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
97,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,"Develop PSE LAC Learning Agenda through periodic review, input and feedback from mission staff",Product,Scoping + Transmission + Dissemination Plans,Tess,Yes,Geeta,,,Production,6.0,90-95%,Sept,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.K,Share with CP/LC/AV for review and approval. Share with Steering Group.,,,,,,,,,,,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
98,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,,Organize/Facilitate LAC Learning session at LAC Environment Officers Meeting; Share Learning Agenda with missions,TBD,Scoping Sheet,Caroline,No,Linda,,,,5.0,0-24%,Jun,,cross_mission_products,Product #,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,LAC FY20 Work Plan and Budget,2.4.1.L,Coordinate/organize session with CP/LC input and Steering Group,,,,,,,,,,12.0,,,,,2. CROSS MISSION LEARNING GROUPS,Cross-Mission Learning Groups (XMLGs)
